"Journal","Field","Publisher","Publisher.type","Business.model","Institution","Institution.type","Website","APC..uros","Scimago.Rank","PCI.partner","journal_clean","oa_journal_name","oa_issn_l","oa_issn","oa_journal_id","oa_n_papers"
"Animal Behaviour","ecology","Elsevier","For-profit","hybrid","Association for the Study of Animal Behaviour","Society","https://www.journals.elsevier.com/animal-behaviour",2740,1.068,"none","Animal Behaviour","Animal Behaviour","0003-3472","0003-3472 | 1095-8282","https://openalex.org/S157690423",16198
"Archives of Sexual Behavior","ecology","Springer","For-profit","hybrid","International Academy of Sex Research","Society","https://www.springer.com/journal/10508",2290,1.149,"none","Archives of Sexual Behavior","Archives of Sexual Behavior","0004-0002","0004-0002 | 1573-2800","https://openalex.org/S28964699",5438
"Behavior Genetics","ecology","Springer","For-profit","hybrid","Behavior Genetics Association","Society","https://www.springer.com/journal/10519",2390,0.866,"none","Behavior Genetics","Behavior Genetics","0001-8244","0001-8244 | 1573-3297","https://openalex.org/S46238352",3455
"Behavioral Ecology","ecology","Oxford University Press","University Press","hybrid","International Society for Behavioral Ecology","Society","https://academic.oup.com/beheco",3630,1.08,"none","Behavioral Ecology","Behavioral Ecology","1045-2249","1045-2249 | 1465-7279","https://openalex.org/S121360315",4696
"Hormones and Behavior","ecology","Elsevier","For-profit","hybrid","Society for Behavioral Neuroendocrinology","Society","https://www.sciencedirect.com/journal/hormones-and-behavior",3100,0.97,"none","Hormones and Behavior","Hormones and Behavior","0018-506X","0018-506X | 1095-6867","https://openalex.org/S170105747",5315
"Personality and Individual Differences","ecology","Elsevier","For-profit","hybrid","International Society for the Study of Individual Differences","Society","https://www.journals.elsevier.com/personality-and-individual-differences",3000,1.178,"none","Personality and Individual Differences","Personality and Individual Differences","0191-8869","0191-8869 | 1873-3549","https://openalex.org/S151331055",15619
"Sociobiology","ecology","Universidade Estadual de Feira de Santana","Non-profit","diamond_OA","Universidade Estadual de Feira de Santana","Uni/Gov","https://periodicos.uefs.br/index.php/sociobiology/about",0,0.379,"none","Sociobiology","Behavioral Ecology and Sociobiology","0340-5443","0340-5443 | 1432-0762","https://openalex.org/S136529485",6442
"African Journal of Wildlife Research","ecology","Southern African Wildlife Management Association","Non-profit","subscription","Southern African Wildlife Management Association","Society","https://sawma.co.za/scope-and-information/",400,0.31,"none","African Journal of Wildlife Research","African Journal of Wildlife Research","2410-7220","2410-7220 | 2410-8200","https://openalex.org/S2764636758",820
"Animal Conservation","ecology","Wiley","For-profit","hybrid","Zoological Society of London","Society","https://zslpublications.onlinelibrary.wiley.com/journal/14691795",3550,1.213,"none","Animal Conservation","Animal Conservation","1367-9430","1367-9430 | 1469-1795","https://openalex.org/S144146645",2057
"Applied Vegetation Science","ecology","Wiley","For-profit","hybrid","International Association for Vegetation Science","Society","https://onlinelibrary.wiley.com/journal/1654109x",3260,0.74,"none","Applied Vegetation Science","Applied Vegetation Science","1402-2001","1402-2001 | 1654-109X","https://openalex.org/S179963793",1619
"Aquatic Ecosystem Health & Management","ecology","Michigan State University Press","University Press","subscription","Aquatic Ecosystem Health and Management Society","Society","https://msupress.org/journals/aquatic-ecosystem-health-and-management/",100,0.336,"none","Aquatic Ecosystem Health & Management","Aquatic Ecosystem Health & Management","1463-4988","1463-4988 | 1539-4077","https://openalex.org/S131171954",1503
"Bird Conservation International","ecology","Cambridge University Press","University Press","hybrid","Bird Life International","Non-profit","https://www.cambridge.org/core/journals/bird-conservation-international",2980,0.665,"none","Bird Conservation International","Bird Conservation International","0959-2709","0959-2709 | 1474-0001","https://openalex.org/S194129668",1393
